,content
297,Super app
298,Very nice
299,It is very very very very very very bad
300,Gud
301,Helpfull
302,Very easy connect with faster
303,Wooooow
304,Very fast and easy. Used Firefox on PC running Ubuntu.
305,Easy to use
306,Wow app
307,Nice
308,Happy 😊
309,Super application
310,Very good
311,Excellent
312,Nice
313,Good
314,Awesome app
315,Best app
316,Wonderful 👏🏼👏🏼👏🏼
317,very good app
318,Nice app
319,Superb and fast
320,Love it
321,Love it
322,Best sharing app faster and convinient
323,Good
324,Useful app
325,I like it too much
326,Not working
327,Op
328,Verygood
329,Simply beautiful
330,Super 💯😊
331,The task of sharing files with laptop is so easy.
332,"Worst, Required in unnecessary permissions"
333,Raja Kumar tanti
334,Fantastic🤘😝🤘
335,Good
336,Superrr hyper speed just amazing 💯🔥
337,Great nice app
338,Excellent App
339,This app is very beautiful
340,Very very very dangerous
341,It's very useful
342,Very good
343,What apppp
344,Really good👍
345,Super
346,Worst
347,Exalent
348,Ok
349,Thanks for this app
350,Good application for transfer
351,Noice
352,👍good
353,Quick and efficient
354,Good app.......
355,Nice
356,Very convenient app
357,Good
358,Excellent
359,Super
360,Goog app
361,T5 G
362,This nice app to share files and app
363,Very happy😄😃😁😛😊😉😄😃😁😄😆😂
364,Best app ever
365,Best
366,Good app
367,Good application But Lag in File Transfer. And File Is corrupt Solve This.
368,Excitement
369,Nic
370,Good
371,Nice app
372,Fabulous
373,Amazing
374,Good app
375,Excellent
376,Good app
377,Really Very Fast Transfer
378,"Amazing app, transferred 512 mb of data within 2.5 minutes . Highesly recommend for data transfer from different phones , very user friendly interface."
379,Good
380,Good to use
381,God app for sharing
382,I love this application ❤❤❤
383,Good
384,Very fast
385,Super speed
386,V good
387,Hsah
388,💩💩💩😬😡👎👎👎
389,Wonderful
390,Nice👍👍
391,Mast as malai
392,♥️♥️♥️♥️♥️♥️
393,Super
394,Nice
395,Super perfomans👍
396,Good app
397,Bad
398,Superb
399,very slow
